year,month_number,month_name,total_orders,total_revenue,average_item_value,late_delivery_percentage
2016,9,September,3,354.75,59.13,50.0
2016,10,October,308,56808.84,156.5,0.83
2016,12,December,1,19.62,19.62,0.0
2017,1,January,789,137188.49,143.65,2.72
2017,2,February,1733,286280.62,146.74,3.18
2017,3,March,2641,432048.59,144.02,5.43
2017,4,April,2391,412422.24,153.66,7.19
2017,5,May,3660,586190.95,141.73,3.65
2017,6,June,3217,502963.04,140.37,3.66
2017,7,July,3969,584971.62,129.45,3.54
2017,8,August,4293,668204.6,136.09,3.08
2017,9,September,4243,720398.91,149.12,5.03
2017,10,October,4568,769312.37,144.55,4.96
2017,11,November,7451,1179143.77,136.08,13.53
2017,12,December,5624,863547.23,136.9,8.02
2018,1,January,7220,1107301.89,134.91,6.41
2018,2,February,6694,986908.96,128.64,15.43
2018,3,March,7188,1155126.82,140.58,19.97
2018,4,April,6934,1159698.04,145.42,4.7
2018,5,May,6853,1149781.82,145.08,7.87
2018,6,June,6160,1022677.11,144.49,1.33
2018,7,July,6273,1058728.03,149.28,4.29
2018,8,August,6452,1003308.47,138.43,10.2
2018,9,September,1,166.46,166.46,0.0
